date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Average Goals,BTTS Average,Over15 Average,Over25 Average,Average Corners,Average Cards,Home Team Pre-Match xG,Away Team Pre-Match xG,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_BTTS_Yes,Odds_DoubleChance_1x,Odds_DoubleChance_x2
Sep 20 2026 - 11:00pm,Mexico,Liga MX Femenil,Atlético San Luis W,Pachuca Women,1.71,1.0,3.64,72,86,65,11.28,3.0,2.14,1.43,5.7,4.55,1.4,,,,,
Sep 20 2026 - 11:00pm,Uruguay,Primera División,Liverpool FC Montevideo,Racing,1.5,1.86,2.17,45,61,36,10.72,5.65,1.51,1.62,2.25,3.0,3.2,1.42,2.32,2.0,1.28,1.55
Sep 20 2026 - 11:10pm,Colombia,Categoria Primera A,Deportes Tolima,América de Cali,1.66,1.8,2.34,42,68,42,8.99,6.28,1.46,1.51,2.25,3.0,2.9,1.37,2.29,1.93,1.33,1.57
Sep 20 2026 - 11:30pm,Colombia,Liga Femenina,Millonarios W,Santa Fe W,2.09,1.65,2.52,41,70,53,8.83,2.35,1.63,1.69,1.67,3.45,5.2,1.36,2.18,2.0,1.25,2.2
Sep 20 2026 - 11:30pm,Ecuador,Primera Categoría Serie A,LDU Quito,CD Universidad Católica,1.53,1.7,2.22,45,67,37,10.53,4.4,1.53,1.58,2.05,3.3,3.0,1.24,1.88,1.66,1.25,1.62
Sep 21 2026 - 12:00am,Mexico,Liga MX,Pachuca,Tijuana,1.38,1.86,2.6,47,73,47,8.79,4.52,1.55,1.36,1.77,3.74,4.2,1.22,1.77,1.65,1.17,2.0
Sep 21 2026 - 12:00am,Mexico,Liga MX,Toluca,Santos Laguna,2.38,0.5,2.69,44,63,57,13.38,3.25,1.81,1.4,1.29,6.2,8.8,1.06,1.31,1.65,1.05,3.5
Sep 21 2026 - 12:30am,Argentina,Primera División,Vélez Sarsfield,Tigre,1.73,1.28,1.88,51,57,26,8.35,4.35,1.38,1.47,2.25,2.94,3.08,1.61,2.81,2.24,1.27,1.62
Sep 21 2026 - 1:15am,Colombia,Categoria Primera A,Llaneros,Atlético Nacional,1.18,2.28,2.53,49,75,48,10.43,5.7,1.16,1.77,4.2,3.4,1.7,1.27,1.94,1.83,1.93,1.17
Sep 21 2026 - 2:10am,Mexico,Liga MX,Querétaro,León,1.86,1.63,2.47,54,66,48,8.5,6.38,1.37,1.6,2.37,3.4,2.6,1.22,1.67,1.53,1.27,1.5
